Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.572209,-0.936934,14,Cunningham Close,Brotton,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 2FH,United Kingdom
54.562977,-1.241559,386,Linthorpe Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 6HA,United Kingdom
54.575852,-1.244942,84,Newport Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 5DG,United Kingdom
54.687996,-1.202095,5A,Mayflower Close,Hartlepool,Hartlepool,,Hartlepool,,TS24 0XY,United Kingdom
54.525164,-1.233362,11,Alloway Grove,Middlesbrough,Middlesbrough,,Middlesbrough,,TS8 9HT,United Kingdom
54.569897,-1.312623,,Bone Street,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18,United Kingdom
54.514925,-1.351119,10,Martindale Grove,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS16 9DL,United Kingdom
54.699737,-1.184849,53,Durham Street,Hartlepool,Hartlepool,,Hartlepool,,TS24 0HD,United Kingdom
54.51701,-1.353231,627-653,Yarm Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS16,United Kingdom
54.517783,-0.937065,76,Ward Street,Moorsholm,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 3JD,United Kingdom
54.445351,-1.287495,44,Langbaurgh Road,Hutton Rudby,Yarm,,North Yorkshire,,TS15 0HL,United Kingdom
54.684105,-1.435658,8,Park View,Fishburn,Stockton-on-Tees,,County Durham,,TS21 4AX,United Kingdom
54.546039,-1.302828,3,Bamford Road,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 8LD,United Kingdom
54.553099,-1.15348,,Bankfields Road,,Middlesbrough,,Redcar and Cleveland,,TS6 0NP,United Kingdom
54.604167,-1.078402,14,Snowdon Crescent,Redcar,Redcar,,Redcar and Cleveland,,TS10 4AQ,United Kingdom
54.522957,-1.253967,6,Girrick Close,Middlesbrough,Middlesbrough,,Middlesbrough,,TS8 9RJ,United Kingdom
54.536919,-1.21033,10,Lycium Close,Marton-in-Cleveland,Middlesbrough,,Middlesbrough,,TS7 8RS,United Kingdom
54.587332,-1.317332,9,Hury Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS20 1DD,United Kingdom
54.703917,-1.209713,5,Bridgepool Close,Hartlepool,Hartlepool,,Hartlepool,,TS24 0UL,United Kingdom
54.665664,-1.241339,2,Eckford Walk,Hartlepool,Hartlepool,,Hartlepool,,TS25 4AE,United Kingdom
54.700137,-1.222071,187,Winterbottom Avenue,Hartlepool,Hartlepool,,Hartlepool,,TS24,United Kingdom
54.540463,-1.16706,2,Farmbank Road,Ormesby,Middlesbrough,,Redcar and Cleveland,,TS7 9EG,United Kingdom
54.717745,-1.411434,10,Commercial Street,Trimdon Colliery,Trimdon Station,,County Durham,,TS29 6AD,United Kingdom
54.603955,-1.421224,15,Whitton Grove,Stillington,Stockton-on-Tees,,Stockton-on-Tees,,TS21 1JJ,United Kingdom
54.562122,-1.206286,25,Barden Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 7QP,United Kingdom
54.566974,-1.309502,,The Square,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 1TE,United Kingdom
54.703917,-1.209713,5,Bridgepool Close,Hartlepool,Hartlepool,,Hartlepool,,TS24 0UL,United Kingdom
54.516438,-1.351359,10,Wasdale Drive,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS16 9DP,United Kingdom
54.656382,-1.197116,16,Westerdale Road,Seaton Carew,Hartlepool,,Hartlepool,,TS25 2AE,United Kingdom
54.570607,-1.226895,1,Esher Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 3EN,United Kingdom
54.559783,-1.317275,11,Westcott Street,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 3EQ,United Kingdom
54.592263,-1.088875,,Tralee Close,Redcar,Redcar,,Redcar and Cleveland,,TS10,United Kingdom
54.471502,-1.198184,37,The Stripe,Stokesley,Middlesbrough,,North Yorkshire,,TS9 5PX,United Kingdom
54.580031,-1.355222,232,Tithe Barn Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 8PY,United Kingdom
54.439682,-1.280181,,Station Lane,Hutton Rudby,Yarm,,North Yorkshire,,TS15 0HZ,United Kingdom
54.566657,-0.976766,21,Wharfdale,Skelton-in-Cleveland,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 2WB,United Kingdom
54.518074,-0.935405,5,Hillocks Lane,Moorsholm,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 3JG,United Kingdom
54.56976,-1.223254,19,Wellesley Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS4 2DJ,United Kingdom
54.511137,-1.355288,2,Tom Browns Wynd,Yarm,Yarm,,Stockton-on-Tees,,TS15 9AS,United Kingdom
54.554771,-1.198363,21,Kelvin Grove,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 7RU,United Kingdom
54.539752,-1.28764,16,Yeadon Grove,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 9EE,United Kingdom
54.589351,-1.014886,9,Southfield Road,Marske-by-the-Sea,Redcar,,Redcar and Cleveland,,TS11 7BP,United Kingdom
54.512568,-1.314782,57,Holystone Drive,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 0PW,United Kingdom
54.648133,-1.449794,100,The Leas,Sedgefield,Stockton-on-Tees,,County Durham,,TS21 2DP,United Kingdom
54.563055,-1.322472,22,Magnolia Court,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 1JJ,United Kingdom
54.521349,-1.235426,3,Edgeworth Court,Middlesbrough,Middlesbrough,,Middlesbrough,,TS8 9EP,United Kingdom
54.746885,-1.290905,23,The Crescent,Blackhall Colliery,Hartlepool,,County Durham,,TS27 4LE,United Kingdom
54.483858,-1.13938,35-39,Angrove Close,Great Ayton,Middlesbrough,,North Yorkshire,,TS9 6LE,United Kingdom
54.554533,-0.793315,9,Fairfield Road,Staithes,Saltburn-by-the-Sea,,North Yorkshire,,TS13 5BA,United Kingdom
54.427466,-1.079042,1,Incline Cottages,Ingleby Greenhow,Middlesbrough,,North Yorkshire,,TS9 6RH,United Kingdom
54.581094,-1.256928,1,Simcox Court,Middlesbrough,Middlesbrough,,Middlesbrough,,TS2 1UX,United Kingdom
54.540447,-1.049828,7-9,Wilken Crescent,Guisborough,Guisborough,,Redcar and Cleveland,,TS14 6DF,United Kingdom
54.570865,-1.242095,39A,Princes Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 4BG,United Kingdom
54.437647,-1.119387,,Howe Hill,,Middlesbrough,,North Yorkshire,,TS9 7EZ,United Kingdom
54.59665,-1.317984,7,Stapleton Street,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS20 1NP,United Kingdom
54.563819,-1.357497,40,Upsall Grove,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 7BJ,United Kingdom
54.561975,-1.133326,8,Highgate,,Middlesbrough,,Redcar and Cleveland,,TS6 9LN,United Kingdom
54.529765,-0.961077,3,Stanghow Road,Lingdale,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 3LE,United Kingdom
